"filename", "language", "HTML", "JavaScript", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\gavin\OneDrive\Desktop\My Websites\Book Review\config\database.js", "JavaScript", 0, 12, 0, 0, 1, 4, 17
"c:\Users\gavin\OneDrive\Desktop\My Websites\Book Review\config\passport.js", "JavaScript", 0, 43, 0, 0, 2, 7, 52
"c:\Users\gavin\OneDrive\Desktop\My Websites\Book Review\controllers\authControllers.js", "JavaScript", 0, 34, 0, 0, 3, 5, 42
"c:\Users\gavin\OneDrive\Desktop\My Websites\Book Review\controllers\noteController.js", "JavaScript", 0, 136, 0, 0, 7, 26, 169
"c:\Users\gavin\OneDrive\Desktop\My Websites\Book Review\controllers\userBookController.js", "JavaScript", 0, 196, 0, 0, 18, 41, 255
"c:\Users\gavin\OneDrive\Desktop\My Websites\Book Review\controllers\usersControllers.js", "JavaScript", 0, 16, 0, 0, 0, 2, 18
"c:\Users\gavin\OneDrive\Desktop\My Websites\Book Review\index.js", "JavaScript", 0, 46, 0, 0, 20, 15, 81
"c:\Users\gavin\OneDrive\Desktop\My Websites\Book Review\middlewares\authMiddleware.js", "JavaScript", 0, 7, 0, 0, 0, 2, 9
"c:\Users\gavin\OneDrive\Desktop\My Websites\Book Review\models\Book.js", "JavaScript", 0, 23, 0, 0, 5, 4, 32
"c:\Users\gavin\OneDrive\Desktop\My Websites\Book Review\models\Note.js", "JavaScript", 0, 51, 0, 0, 1, 8, 60
"c:\Users\gavin\OneDrive\Desktop\My Websites\Book Review\models\UserBook.js", "JavaScript", 0, 76, 0, 0, 9, 12, 97
"c:\Users\gavin\OneDrive\Desktop\My Websites\Book Review\models\usersModel.js", "JavaScript", 0, 55, 0, 0, 1, 9, 65
"c:\Users\gavin\OneDrive\Desktop\My Websites\Book Review\package-lock.json", "JSON", 0, 0, 1272, 0, 0, 1, 1273
"c:\Users\gavin\OneDrive\Desktop\My Websites\Book Review\package.json", "JSON", 0, 0, 27, 0, 0, 1, 28
"c:\Users\gavin\OneDrive\Desktop\My Websites\Book Review\public\js\login.js", "JavaScript", 0, 67, 0, 0, 2, 9, 78
"c:\Users\gavin\OneDrive\Desktop\My Websites\Book Review\public\js\taskbar.js", "JavaScript", 0, 121, 0, 0, 0, 16, 137
"c:\Users\gavin\OneDrive\Desktop\My Websites\Book Review\public\styles\home.css", "CSS", 0, 0, 0, 253, 7, 51, 311
"c:\Users\gavin\OneDrive\Desktop\My Websites\Book Review\public\styles\taskbar.css", "CSS", 0, 0, 0, 113, 0, 21, 134
"c:\Users\gavin\OneDrive\Desktop\My Websites\Book Review\routes\authRoutes.js", "JavaScript", 0, 10, 0, 0, 0, 2, 12
"c:\Users\gavin\OneDrive\Desktop\My Websites\Book Review\routes\noteRoutes.js", "JavaScript", 0, 5, 0, 0, 0, 4, 9
"c:\Users\gavin\OneDrive\Desktop\My Websites\Book Review\routes\userBookRoutes.js", "JavaScript", 0, 14, 0, 0, 2, 3, 19
"c:\Users\gavin\OneDrive\Desktop\My Websites\Book Review\routes\usersRoutes.js", "JavaScript", 0, 5, 0, 0, 0, 6, 11
"c:\Users\gavin\OneDrive\Desktop\My Websites\Book Review\views\home.ejs", "HTML", 23, 0, 0, 0, 0, 0, 23
"c:\Users\gavin\OneDrive\Desktop\My Websites\Book Review\views\login.ejs", "HTML", 40, 0, 0, 0, 0, 1, 41
"c:\Users\gavin\OneDrive\Desktop\My Websites\Book Review\views\partials\taskbar.ejs", "HTML", 32, 0, 0, 0, 0, 1, 33
"Total", "-", 95, 917, 1299, 366, 78, 251, 3006